x	f(x)	S(x)	|S-f|
2.875	19.0649019683	18.8399075861	0.224994382243
2.88333333333	18.8415447714	18.6270987067	0.214446064645
2.89166666667	18.5748563592	18.3745250894	0.2003312698
2.9	18.2644255768	18.0814474546	0.182978122207
2.90833333333	17.9099477697	17.7471265228	0.162821246837
2.91666666667	17.5112294418	17.3708230146	0.140406427215
2.925	17.0681927532	16.9517976503	0.11639510285
2.93333333333	16.5808798347	16.4893111507	0.0915686840657
2.94166666667	16.0494568979	15.982624236	0.0668326618804
2.95	15.4742181172	15.4309976269	0.0432204902741
2.95833333333	14.8555892617	14.8336920438	0.0218972178875
2.96666666667	14.1941310534	14.1899682073	0.00416284602441
2.975	13.4905422276	13.4990868379	0.00854461029324
2.98333333333	12.7456622745	12.760308656	0.0146463815022
2.99166666667	11.960473836	11.9728943821	0.0124205461347
3	11.1361047369	11.1361047369	0
3.00833333333	10.2738296259	10.2499454448	0.0238841811116
3.01666666667	9.3750712057	9.31740224714	0.0576689585661
3.025	8.44140102799	8.34220588912	0.0991951388644
3.03333333333	7.47453983397	7.32808711608	0.146452717891
3.04166666667	6.47635741803	6.27877667331	0.197580744716
3.05	5.44887199513	5.19800530611	0.250866689016
3.05833333333	4.39424905271	4.08950375979	0.304745292923
3.06666666667	3.31479966878	2.95700277964	0.357796889149
3.075	2.2129782793	1.80423311096	0.408745168348
3.08333333333	1.09137987898	0.634925499051	0.456454379934
3.09166666667	-0.0472633588025	-0.547189310782	0.499925951979
3.1	-1.20008605593	-1.73838057324	0.53829451731
3.10833333333	-2.36409420849	-2.93491754303	0.57082333454
3.11666666667	-3.53617038025	-4.13306947484	0.596899094586
3.125	-4.71307951833	-5.32910562338	0.61602610505
3.13333333333	-5.89147539643	-6.51929524334	0.627819846908
3.14166666667	-7.06790768938	-7.69990758943	0.631999900047
3.15	-8.23882967987	-8.86721191634	0.628382236473
3.15833333333	-9.40060659641	-10.0174774788	0.616870882371
3.16666666667	-10.5495245788	-11.1469735315	0.597448952697
3.175	-11.6818002645	-12.251969329	0.570169064561
3.18333333333	-12.7935909879	-13.3287341263	0.535143138373
3.19166666667	-13.8810055793	-14.3735371778	0.492531598522
3.2	-14.9401157502	-15.3826477384	0.442531988213
3.20833333333	-15.9669680465	-16.3523350627	0.385367016113
3.21666666667	-16.9575963499	-17.2788684054	0.321272055434
3.225	-17.908034902	-18.1585170212	0.250482119242
3.23333333333	-18.814331826	-18.9875501649	0.17321833891
3.24166666667	-19.6725631152	-19.7622370911	0.089673975867
3.25	-20.4788470545	-20.4788470545	0
3.25833333333	-21.2293590385	-21.1340507451	0.0953082933916
3.26666666667	-21.9203467467	-21.7261245938	0.194222152947
3.275	-22.5481456325	-22.2537464668	0.294399165735
3.28333333333	-23.1091946788	-22.7155942303	0.393600448493
3.29166666667	-23.6000523718	-23.1103457505	0.489706621286
3.3	-24.0174128397	-23.4366788936	0.580733946092
3.30833333333	-24.3581221003	-23.6932715257	0.664850574509
3.31666666667	-24.619194359	-23.8788015132	0.740392845801
3.325	-24.7978282957	-23.9919467221	0.80588157361
3.33333333333	-24.8914232755	-24.0313850186	0.860038256917
3.34166666667	-24.8975954173	-23.995794269	0.90180114823
3.35	-24.814193449	-23.8838523395	0.930341109516
3.35833333333	-24.6393142803	-23.6942370961	0.945077184152
3.36666666667	-24.3713182163	-23.4256264052	0.945691811091
3.375	-24.0088437386	-23.0766981329	0.932145605615
3.38333333333	-23.5508217749	-22.6461301455	0.904691629441
3.39166666667	-22.9964893806	-22.132600309	0.863889071619
3.4	-22.3454027503	-21.5347864897	0.81061626061
3.40833333333	-21.597449481	-20.8513665538	0.746082927178
3.41666666667	-20.7528600048	-20.0810183675	0.671841637303
3.425	-19.8122181111	-19.2224197969	0.58979831423
3.43333333333	-18.7764704773	-18.2742487083	0.502221769038
3.44166666667	-17.6469351276	-17.2351829679	0.411752159754
3.45	-16.4253087418	-16.1039004418	0.321408300068
3.45833333333	-15.1136727363	-14.8790789962	0.234593740126
3.46666666667	-13.7144980412	-13.5593964974	0.15510154377
3.475	-12.2306485003	-12.1435308115	0.0871176888441
3.48333333333	-10.6653828247	-10.6301598047	0.0352230199428
3.49166666667	-9.0223550294	-9.01796134324	0.00439368615376
3.5	-7.30561329327	-7.30561329327	0
3.50833333333	-5.51959717889	-5.49370945323	0.0258877256591
3.51666666667	-3.66913315963	-3.5905073505	0.0786258091294
3.525	-1.75942840294	-1.60618044472	0.15324795822
3.53333333333	0.203937234537	0.449097804499	0.245160569961
3.54166666667	2.21502103834	2.56515393752	0.350132899183
3.55	4.26752912624	4.73181449473	0.464285368488
3.55833333333	6.35483002196	6.9389060165	0.584075994539
3.56666666667	8.46997013025	9.1762550432	0.706284912951
3.575	10.6056911233	11.4336881152	0.827996991905
3.58333333333	12.7544492401	13.7010317729	0.94658253283
3.59166666667	14.9084364915	15.9681125567	1.05967606512
3.6	17.059603756	18.2247570069	1.1651532509
3.60833333333	19.1996857387	20.4607916639	1.26110592512
3.61666666667	21.320227762	22.6660430681	1.34581530611
3.625	23.4126143383	24.8303377598	1.41772342146
3.63333333333	25.4680994749	26.9435022795	1.47540280463
3.64166666667	27.4778386398	28.9953631675	1.51752452771
3.65	29.4329223172	30.9757469642	1.54282464696
3.65833333333	31.3244110621	32.87448021	1.55006914781
3.66666666667	33.1433719577	34.6813894451	1.53801748746
3.675	34.8809163664	36.3863012102	1.50538484378
3.68333333333	36.5282388554	37.9790420453	1.45080318994
3.69166666667	38.0766571657	39.4494384911	1.37278132538
3.7	39.517653084	40.7873170878	1.26966400383
3.70833333333	40.8429140657	41.9825043758	1.13959031009
3.71666666667	42.0443754486	43.0248268955	0.980451446911
3.725	43.1142630838	43.9041111873	0.789848103543
3.73333333333	44.0451362047	44.6101837915	0.565047586816
3.74166666667	44.8299303439	45.1328712485	0.302940904604
3.75	45.4620000988	45.4620000988	0
3.75833333333	45.9351615402	45.5900830987	0.345078441516
3.76666666667	46.2437340516	45.5203778692	0.723356182458
3.775	46.3825813777	45.2588282473	1.12375313039
3.78333333333	46.3471516574	44.8113780701	1.53577358735
3.79166666667	46.1335162123	44.1839711746	1.94954503774
3.8	45.7384068546	43.3825513978	2.35585545681
3.80833333333	45.15925148	42.4130625767	2.74618890326
3.81666666667	44.394207706	41.2814485485	3.11275915752
3.825	43.4421943172	39.9936531501	3.44854116717
3.83333333333	42.3029202798	38.5556202185	3.74730006128
3.84166666667	40.9769110885	36.9732935908	4.00361749769
3.85	39.4655322145	35.252617104	4.21291511047
3.85833333333	37.7710094246	33.3995345952	4.37147482942
3.86666666667	35.896445751	31.4199899013	4.47645584966
3.875	33.8458348963	29.3199268595	4.5259080368
3.88333333333	31.624070869	27.1052893067	4.51878156225
3.89166666667	29.2369536536	24.78202108	4.4549325736
